INFO:root:Plant at (2, 8) was eaten by Herbivore.
INFO:root:Plant at (4, 9) was eaten by Herbivore.
INFO:root:Herbivore at (7, 11) was eaten by Predator.
INFO:root:Cell Predator moved to (3, 7).
INFO:root:Cell Plant at (2, 8) died.
INFO:root:New Herbivore born at (2, 7).
INFO:root:Cell Herbivore moved to (2, 7).
INFO:root:Cell Herbivore moved to (2, 9).
INFO:root:Cell Plant at (4, 9) died.
INFO:root:Cell Predator moved to (5, 7).
INFO:root:Cell Herbivore at (7, 11) died.
INFO:root:Cell Herbivore moved to (8, 11).
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Herbivore at (2, 7) was eaten by Predator.
INFO:root:Herbivore at (3, 8) was eaten by Predator.
INFO:root:Cell Herbivore at (2, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Plant at (2, 8) died.
INFO:root:Cell Herbivore moved to (2, 8).
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Predator moved to (2, 8).
INFO:root:Cell Herbivore at (3, 8) died.
INFO:root:Cell Herbivore moved to (4, 7).
INFO:root:Cell Herbivore at (4, 7) died.
INFO:root:Cell Plant at (4, 9) died.
INFO:root:Cell Predator moved to (4, 8).
INFO:root:Cell Predator moved to (6, 10).
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Cell Herbivore moved to (9, 11).
INFO:root:Cell Herbivore at (9, 11) died.
INFO:root:Herbivore at (3, 7) was eaten by Predator.
INFO:root:Cell Predator moved to (3, 8).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Herbivore moved to (4, 5).
INFO:root:Cell Herbivore at (3, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Herbivore at (4, 5) died.
INFO:root:Cell Herbivore at (4, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator moved to (3, 8).
INFO:root:Cell Plant at (4, 9) died.
INFO:root:Cell Predator moved to (5, 9).
INFO:root:Cell Herbivore at (9, 11) died.
INFO:root:Cell Herbivore moved to (9, 10).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Herbivore moved to (4, 5).
INFO:root:Cell Predator moved to (3, 9).
INFO:root:Cell Herbivore at (4, 5) died.
INFO:root:Cell Herbivore at (4, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator moved to (3, 9).
INFO:root:Cell Plant at (4, 9) died.
INFO:root:Cell Predator moved to (5, 8).
INFO:root:Cell Herbivore at (9, 10) died.
INFO:root:Cell Herbivore moved to (8, 9).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Herbivore moved to (2, 5).
INFO:root:Cell Predator moved to (4, 10).
INFO:root:Cell Herbivore at (4, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Herbivore at (4, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator moved to (3, 7).
INFO:root:Cell Plant at (4, 9) died.
INFO:root:Cell Predator moved to (6, 7).
INFO:root:Cell Herbivore at (8, 9) died.
INFO:root:Cell Herbivore moved to (8, 10).
INFO:root:Cell Herbivore at (8, 10) died.
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Predator moved to (4, 7).
INFO:root:Cell Plant at (4, 9) died.
INFO:root:Cell Predator moved to (3, 9).
INFO:root:Cell Predator moved to (6, 6).
INFO:root:Cell Herbivore at (8, 10) died.
INFO:root:Cell Herbivore moved to (8, 9).
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Herbivore at (3, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator moved to (4, 9).
INFO:root:Cell Predator moved to (3, 8).
INFO:root:Cell Predator moved to (5, 6).
INFO:root:Cell Herbivore at (8, 9) died.
INFO:root:Cell Herbivore moved to (8, 10).
INFO:root:Cell Herbivore at (8, 10) died.
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Herbivore at (3, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator moved to (2, 9).
INFO:root:Cell Plant at (3, 9) died.
INFO:root:Cell Predator moved to (4, 8).
INFO:root:Cell Predator moved to (6, 6).
INFO:root:Cell Herbivore at (8, 10) died.
INFO:root:Cell Herbivore moved to (7, 11).
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 4).
INFO:root:Cell Predator moved to (1, 10).
INFO:root:Cell Herbivore at (3, 4) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Herbivore moved to (2, 5).
INFO:root:Cell Herbivore at (3, 7) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Plant at (3, 8) died.
INFO:root:Cell Plant at (3, 9) died.
INFO:root:Cell Predator moved to (5, 8).
INFO:root:Cell Predator moved to (7, 6).
INFO:root:Cell Herbivore at (7, 11) died.
INFO:root:Cell Herbivore moved to (8, 11).
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Cell Predator at (1, 10) died.
INFO:root:Cell Predator moved to (2, 9).
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator at (2, 9) died.
INFO:root:Cell Herbivore at (3, 4) died.
INFO:root:Cell Herbivore moved to (2, 5).
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Plant at (3, 8) died.
INFO:root:Cell Plant at (3, 9) died.
INFO:root:Cell Predator at (5, 8) died.
INFO:root:Cell Predator moved to (4, 8).
INFO:root:Cell Predator at (7, 6) died.
INFO:root:Cell Predator moved to (8, 5).
INFO:root:Cell Predator at (8, 5) died.
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Cell Herbivore moved to (8, 10).
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator at (2, 9) died.
INFO:root:Cell Predator moved to (3, 9).
INFO:root:Cell Herbivore at (3, 4) died.
INFO:root:Cell Herbivore moved to (4, 5).
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Plant at (3, 8) died.
INFO:root:Cell Predator at (3, 9) died.
INFO:root:Cell Herbivore at (4, 5) died.
INFO:root:Cell Predator at (4, 8) died.
INFO:root:Cell Predator moved to (3, 9).
INFO:root:Cell Predator at (8, 5) died.
INFO:root:Cell Predator moved to (9, 4).
INFO:root:Cell Herbivore at (8, 10) died.
INFO:root:Cell Herbivore moved to (8, 11).
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Cell Predator at (9, 4) died.
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Plant at (3, 8) died.
INFO:root:Cell Predator at (3, 9) died.
INFO:root:Cell Predator moved to (2, 9).
INFO:root:Cell Herbivore at (4, 5) died.
INFO:root:Cell Herbivore moved to (3, 4).
INFO:root:Cell Predator at (4, 8) died.
INFO:root:Cell Predator moved to (3, 9).
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Cell Herbivore moved to (8, 10).
INFO:root:Cell Predator at (9, 4) died.
INFO:root:Cell Predator moved to (9, 3).
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Predator at (2, 9) died.
INFO:root:Cell Predator moved to (3, 10).
INFO:root:Cell Herbivore at (3, 4) died.
INFO:root:Cell Herbivore moved to (2, 5).
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Plant at (3, 8) died.
INFO:root:Cell Predator at (3, 9) died.
INFO:root:Cell Predator moved to (4, 10).
INFO:root:Cell Predator at (3, 10) died.
INFO:root:Cell Plant at (4, 8) died.
INFO:root:Cell Predator at (4, 10) died.
INFO:root:Cell Herbivore at (8, 10) died.
INFO:root:Cell Herbivore moved to (7, 10).
INFO:root:Cell Predator at (9, 3) died.
INFO:root:Cell Predator moved to (10, 2).
INFO:root:Cell Predator at (10, 2) died.
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 6).
INFO:root:Cell Herbivore at (3, 4) died.
INFO:root:Cell Herbivore moved to (2, 5).
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Plant at (3, 8) died.
INFO:root:Cell Predator at (3, 10) died.
INFO:root:Cell Predator moved to (3, 9).
INFO:root:Cell Plant at (4, 8) died.
INFO:root:Cell Predator at (4, 10) died.
INFO:root:Cell Predator moved to (5, 9).
INFO:root:Cell Predator at (5, 9) died.
INFO:root:Cell Herbivore at (7, 10) died.
INFO:root:Cell Herbivore moved to (8, 11).
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Cell Predator at (10, 2) died.
INFO:root:Cell Predator moved to (9, 1).
INFO:root:Cell Herbivore at (2, 5) died.
INFO:root:Cell Herbivore moved to (3, 4).
INFO:root:Cell Herbivore at (3, 4) died.
INFO:root:Cell Herbivore at (3, 6) died.
INFO:root:Cell Herbivore moved to (2, 5).
INFO:root:Cell Plant at (3, 8) died.
INFO:root:Cell Predator at (3, 9) died.
INFO:root:Cell Predator moved to (4, 10).
INFO:root:Cell Plant at (4, 8) died.
INFO:root:Cell Predator at (4, 10) died.
INFO:root:Cell Predator at (5, 9) died.
INFO:root:Cell Predator moved to (5, 8).
INFO:root:Cell Herbivore at (8, 11) died.
INFO:root:Cell Herbivore moved to (8, 10).
INFO:root:Cell Predator at (9, 1) died.
INFO:root:Cell Predator moved to (8, 0).
